"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J11A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J11B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H6G9","J06AJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J09A","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H6G9","J06AJ06B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J09B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H6G9","J11BJ11C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G9G9","J10AJ10BJ10CJ10D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R1G9","J01BJ01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R1G9","J41AJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R1G9","J41AJ41B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J06C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J06B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J06A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J02BJ02C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J06AJ06B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J06AJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","122","G9G9","J08BJ08C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J04BJ04C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J11BJ11C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H4H6","J01A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J10B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H4H6","J01B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J10C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","R1G9","J06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H4H6","J01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J10D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H4H6","J01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R3G9","J03AJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R3G9","J03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J07AJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R3G9","J02AJ02B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J10A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R3G9","J02AJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","122","R1G9","J02AJ02B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","854","R1G9","J10BJ10C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J10B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","122","R1G9","J02AJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J10A","0"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","221","G9G9","J08CJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","132","R1G9","J11CJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J10D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J10C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J07C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J07A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J11AJ11BJ11CJ11D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H4H6","J41CJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J09BJ09C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","639","H2G9","J01AJ01BJ01CJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","639","H2G9","J01AJ01BJ01CJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","H4H6","J10CJ11BJ11C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J41AJ41BJ41CJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","J41CJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H6G9","J07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","H6G9","J06AJ06B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J08C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J08B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","H6G9","J06AJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J08A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","845","G9G9","J03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","H4H6","J41CJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","122","R1G9","J07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","183","G9G9","J06BJ06C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J09C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J09B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J09D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","R1G9","J10AJ10BJ10CJ10D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J09A","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J09C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J09B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J09A","0"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J09D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","J42D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","J42C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2587","224","H8G9","J05AJ05B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J02A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R1G9","J02AJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J02B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J02C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R1G9","J02AJ02B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","122","R1G9","J04AJ04BJ04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R1G9","J04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J05A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J05B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","R1G9","J09BJ09C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R1G9","J05CJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J05C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R1G9","J01AJ01B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R1G9","J01AJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J08A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J08B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","193","R1G9","J04AJ04B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J08C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","G9G9","J41BJ41C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","193","R1G9","J04AJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","J42B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","J42A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","J41C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","J41B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","J41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J11AJ11D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R3G9","J10CJ11BJ11C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","H4H6","J02CJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J01A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J11AJ11B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J01B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J41BJ41C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J06A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J06B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J06C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","122","R1G9","J01BJ01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","J04BJ04C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","G9G9","J41AJ41BJ41CJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J41B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H4H6","J02CJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J41A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J41C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","845","G9G9","J11BJ11C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J09A","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J05AJ05B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J09B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R3G9","J06AJ06BJ06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J08CJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","132","R1G9","J01BJ01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J09C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J05AJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J09D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2587","224","H8G9","J10CJ11BJ11C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","J41A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J04B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J04C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","G9G9","J09BJ09C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","132","R1G9","J05CJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J07A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J07C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J04A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","G9G9","J41BJ41C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J42C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J42B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","H6G9","J03BJ03C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","R1G9","J02CJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J42D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J42A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","G9G9","J05AJ05B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J06A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","132","R1G9","J07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J06B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J06C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","132","R1G9","J07AJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","G9G9","J05AJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J03A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","R1G9","J10BJ10C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J03B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J03C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J03D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J08B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J08C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","834","R1G9","J01BJ01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J08A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2587","224","H8G9","J05AJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J07A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J07C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","J05AJ05B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","J05AJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J04AJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J04AJ04B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J06A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J06B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J06C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","R1G9","J08CJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","122","R1G9","J10AJ10D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","193","G9G9","J10D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2587","224","H8G9","J04BJ04C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","G9G9","J08CJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","193","R1G9","J07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","193","G9G9","J03BJ03C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J01A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J01B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","193","G9G9","J10A","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J41A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J09A","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J09B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","193","G9G9","J10C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J41C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J09C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","221","G9G9","J06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","193","G9G9","J10B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J41B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J09D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G8G9","J10DJ11AJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J05C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H6G9","J08AJ08B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H6G9","J08AJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","678","H4H6","J04AJ04BJ04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J05A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J03BJ03C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J05B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G8G9","J11AJ11BJ11CJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","122","G9G9","J06AJ06BJ06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","639","H2G9","J04BJ04C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J02A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J02B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","183","R1G9","J10AJ10BJ10CJ10D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J02C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J02BJ02C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J42B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R3G9","J11CJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J42A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J42D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J42C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","678","H4H6","J01AJ01BJ01CJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","183","G9G9","J07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","G9G9","J08CJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","629","H2G9","J04AJ04BJ04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J08B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J08C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","629","H2G9","J07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","H6G9","J04AJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J11AJ11B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","H6G9","J04AJ04B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J11AJ11D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","668","H4H6","J11BJ11C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J08A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J07C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R3G9","J01AJ01B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","122","G9G9","J07BJ07C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J03A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J03B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R3G9","J01AJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J03C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J03D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J04AJ04BJ04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G8G9","J07AJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","132","R1G9","J02AJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J07A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G8G9","J07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","183","G9G9","J07AJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","132","R1G9","J02AJ02B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J07A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","G9G9","J11AJ11BJ11CJ11D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","H4H6","J02CJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J07C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J04A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","629","H2G9","J01AJ01BJ01CJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","243","G9G9","J07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J04B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J04C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","629","H2G9","J41AJ41B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","629","H2G9","J41AJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","676","H4H6","J41AJ41BJ41CJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","676","H6G9","J01AJ01BJ01CJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","193","G9G9","J03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J08A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J08B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J08C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","G9G9","J01CJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J08BJ08C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","227","H8G9","J08B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","227","H8G9","J08A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","227","H8G9","J08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","G9G9","J06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","227","H8G9","J08C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","H6G9","J10AJ10BJ10CJ10D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","H6G9","J04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H6G9","J05BJ05C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J06AJ06BJ06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H4H6","J04AJ04B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H4H6","J04AJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J05A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","854","R1G9","J05AJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J05B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J05C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","854","R1G9","J05AJ05B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G8G9","J07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J05D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G8G9","J07C","1"
